Title,Date,Link,Description,Bill_Number
"S. 270, La Pine Land Conveyance Act","Fri, 15 Jun 2012 11:47:32 -0400",https://www.cbo.gov/publication/43332,"As ordered reported by the House Committee on Natural Resources on June 7, 2012",S. 270
"H.R. 3668, Counterfeit Drug Penalty Enhancement Act of 2012","Fri, 15 Jun 2012 11:46:45 -0400",https://www.cbo.gov/publication/43330,"As ordered reported by the House Committee on the Judiciary on June 6, 2012",H.R. 3668
"H.R. 4223, SAFE DOSES Act","Fri, 15 Jun 2012 11:42:51 -0400",https://www.cbo.gov/publication/43329,"As ordered reported by the House Committee on the Judiciary on June 6, 2012",H.R. 4223
"H.R. 4094, Preserving Access to Cape Hatteras National Seashore Recreational Area Act","Fri, 15 Jun 2012 11:42:15 -0400",https://www.cbo.gov/publication/43327,"As ordered reported by the House Committee on Natural Resources on June 7, 2012",H.R. 4094
"H.R. 3065, Target Practice and Marksmanship Training Support Act","Fri, 15 Jun 2012 11:42:06 -0400",https://www.cbo.gov/publication/43326,"As ordered reported by the House Committee on Natural Resources on June 7, 2012",H.R. 3065
"H.R. 3685, a bill to amend the Herger-Feinstein Quincy Library Group Forest Recovery Act to extend and expand the scope of the pilot forest management project required by that act.","Fri, 15 Jun 2012 11:41:18 -0400",https://www.cbo.gov/publication/43325,"As ordered reported by the House Committee on Natural Resources on June 7, 2012",H.R. 3685
"H.R. 4039, Yerington Land Conveyance and Sustainable Development Act","Fri, 15 Jun 2012 11:41:00 -0400",https://www.cbo.gov/publication/43324,"As ordered reported by the House Committee on Natural Resources on June 7, 2012",H.R. 4039
"H.R. 4251, SMART Port Security Act","Mon, 11 Jun 2012 18:12:00 -0400",https://www.cbo.gov/publication/43318,"As ordered reported by the House Committee on Homeland Security on June 6, 2012",H.R. 4251
"H.R. 4347, a bill to designate the United States courthouse located at 709 West 9th Street in Juneau, Alaska, as the “Robert Boochever United States Courthouse.”","Mon, 11 Jun 2012 16:05:00 -0400",https://www.cbo.gov/publication/43317,"Ordered reported by the House Committee on Transportation and Infrastructure on June 7, 2012 ",H.R. 4347
"H.R. 3742, a bill to designate the United States courthouse located at 100 North Church Street in Las Cruces, New Mexico, as the “Edwin L. Mechem United Courthouse”","Mon, 11 Jun 2012 16:05:00 -0400",https://www.cbo.gov/publication/43316,"Ordered reported by the House Committee on Transportation and Infrastructure on June 7, 2012 ",H.R. 3742
"H.R. 4383, Streamlining Permitting of American Energy Act of 2012","Fri, 08 Jun 2012 14:17:00 -0400",https://www.cbo.gov/publication/43315,"As ordered reported by the House Committee on Natural Resources on May 16, 2012",H.R. 4383
"H.R. 4381, Planning for American Energy Act of 2012","Fri, 08 Jun 2012 14:15:00 -0400",https://www.cbo.gov/publication/43314,"As ordered reported by the House Committee on Natural Resources on May 16, 2012",H.R. 4381
"H.R. 4402, National Strategic and Critical Minerals Production Act of 2012","Fri, 08 Jun 2012 13:43:15 -0400",https://www.cbo.gov/publication/43313,"As ordered reported by the House Committee on Natural Resources on May 16, 2012",H.R. 4402
"H.R. 4382, Providing Leasing Certainty for American Energy Act of 2012","Fri, 08 Jun 2012 13:43:10 -0400",https://www.cbo.gov/publication/43312,"As ordered reported by the House Committee on Natural Resources on May 16, 2012",H.R. 4382
"H.R. 3173, a bill to direct the Secretary of Homeland Security to reform the process for the enrollment, activation, issuance, and renewal of a Transportation Worker Identification Credential (TWIC) to require, in total, not more than one in-person visit","Fri, 08 Jun 2012 13:43:03 -0400",https://www.cbo.gov/publication/43311,"As ordered reported by the House Committee on Homeland Security on May 9, 2012",H.R. 3173
"H.R. 2356, WMD Prevention and Preparedness Act of 2012","Thu, 07 Jun 2012 16:00:00 -0400",https://www.cbo.gov/publication/43309,"As ordered reported by the House Committee on Homeland Security on May 9, 2012",H.R. 2356
"H.R. 2903, FEMA Reauthorization Act of 2012","Thu, 07 Jun 2012 15:30:00 -0400",https://www.cbo.gov/publication/43306,"As ordered reported by the House Committee on Transportation and Infrastructure on March 8, 2012",H.R. 2903
"H.R. 4480, Strategic Energy Production Act of 2012","Thu, 07 Jun 2012 15:30:00 -0400",https://www.cbo.gov/publication/43307,"As ordered reported by the House Committee on Energy and Commerce on May 17, 2012",H.R. 4480
"S. 1144, Soda Ash Competition Act","Thu, 07 Jun 2012 15:30:00 -0400",https://www.cbo.gov/publication/43308,"As introduced on June 6, 2011",S. 1144
"H.R. 4019, Federal Forests County Revenue, Schools, and Jobs Act of 2012","Tue, 05 Jun 2012 16:30:00 -0400",https://www.cbo.gov/publication/43299,"As ordered reported by the House Committee on Natural Resources on February 14, 2012",H.R. 4019
"H.R. 436, Health Care Cost Reduction Act of 2012","Tue, 05 Jun 2012 15:45:00 -0400",https://www.cbo.gov/publication/43297,As posted on the Web site of the House Committee on Rules (Committee Print 112-23),H.R. 436
"H.R. 1192, Soda Ash Royalty Extension, Job Creation, and Export Enhancement Act of 2012","Tue, 05 Jun 2012 15:45:00 -0400",https://www.cbo.gov/publication/43298,"As ordered reported by the House Committee on Natural Resources on May 16, 2012",H.R. 1192
"H.R. 1004, Health Flexible Spending Arrangements Improvements Act of 2012","Mon, 04 Jun 2012 17:20:49 -0400",https://www.cbo.gov/publication/43292,"As ordered reported by the House Committee on Ways and Means on May 31, 2012
SUMMARY",H.R. 1004
"H.R. 5858, Health Savings Account Improvements Act of 2012","Mon, 04 Jun 2012 17:20:46 -0400",https://www.cbo.gov/publication/43293,"As ordered reported by the House Committee on Ways and Means on May 31, 2012
SUMMARY",H.R. 5858
"H.R. 5842, Restoring Access to Medication Act of 2012","Mon, 04 Jun 2012 17:20:39 -0400",https://www.cbo.gov/publication/43291,"As ordered reported by the House Committee on Ways and Means on May 31, 2012
SUMMARY",H.R. 5842
"S. 2076, Local Courthouse Safety Act of 2012","Mon, 04 Jun 2012 17:20:33 -0400",https://www.cbo.gov/publication/43294,"As ordered reported by the Senate Committee on the Judiciary on May 24, 2012",S. 2076
"H.R. 436, the Protect Medical Innovation Act of 2012","Mon, 04 Jun 2012 17:20:33 -0400",https://www.cbo.gov/publication/43290,"As ordered reported by the House Committee on Ways and Means on May 31, 2012",H.R. 436
"S. 1673, Safeguarding American Agriculture Act of 2012","Fri, 01 Jun 2012 15:15:00 -0400",https://www.cbo.gov/publication/43283,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on April 25, 2012",S. 1673
"S. 2554, Bulletproof Vest Partnership Grant Program Reauthorization Act of 2012","Fri, 01 Jun 2012 15:15:00 -0400",https://www.cbo.gov/publication/43284,"As reported by the Senate Committee on the Judiciary on May 17, 2012
S. 2554 would authorize the appropriation of $120 million over the 2013-2017 period for the Bulletproof Vest Partnership Grant program.",S. 2554
"H.R. 4121, Early Stage Small Business Contracting Act of 2012","Fri, 01 Jun 2012 15:15:00 -0400",https://www.cbo.gov/publication/43285,"As ordered reported by the House Committee on Small Business on March 7, 2012",H.R. 4121
"H.R. 2467, Bridgeport Indian Colony Land Trust, Health, and Economic Development Act of 2012","Fri, 01 Jun 2012 15:15:00 -0400",https://www.cbo.gov/publication/43286,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 2467
"H.R. 2512, Three Kids Mine Remediation and Reclamation Act","Fri, 01 Jun 2012 15:15:00 -0400",https://www.cbo.gov/publication/43287,"As ordered reported by the House Committee on Natural Resources on February 29, 2012",H.R. 2512
"H.R. 4471, Gasoline Regulations Act of 2012","Tue, 29 May 2012 17:50:00 -0400",https://www.cbo.gov/publication/43281,"As ordered reported by the House Committee on Energy and Commerce on April 25, 2012",H.R. 4471
Supplemental Information: Crop-Level Detail for the Estimated Change in Commodity Payments Under Title I of S. 3240,"Tue, 29 May 2012 16:15:00 -0400",https://www.cbo.gov/publication/43280,"Change in commodity payments under Title I of S. 3240, as introduced on May 24, 2012, compared to CBO March 2012 baseline
",S. 3240
"Amendment in the Nature of a Substitute to H.R. 5651, the Food and Drug Administration Reform Act of 2012","Tue, 29 May 2012 16:10:00 -0400",https://www.cbo.gov/publication/43279,"Statutory Pay-As-You-Go Effects for an Amendment in the Nature of a Substitute to H.R. 5651, as posted on the Web site of the Committee on Energy and Commerce on May 25, 2012",H.R. 5651
"H.R. 3857, Public Transit Security and Local Law Enforcement Support Act","Fri, 25 May 2012 13:38:00 -0400",https://www.cbo.gov/publication/43276,"As ordered reported by the House Committee on Homeland Security on May 9, 2012",H.R. 3857
"S. 3240, Agriculture Reform, Food, and Jobs Act of 2012","Fri, 25 May 2012 10:01:12 -0400",https://www.cbo.gov/publication/43273,"As introduced in the United States Senate on May 24, 2012",S. 3240
"H.R. 4482, a bill to amend title 38, United States Code, to make permanent home loan guaranty programs for veterans regarding adjustable rate mortgages and hybrid adjustable rate mortgages","Thu, 24 May 2012 20:45:56 -0400",https://www.cbo.gov/publication/43267,"As ordered reported by the House Committee on Veterans’ Affairs
on April 27, 2012",H.R. 4482
"H.R. 4027, A bill to clarify authority granted under the act entitled “An act to define the exterior boundary of the Uintah and Ouray Reservation in the state of Utah, and for other purposes”","Thu, 24 May 2012 20:45:53 -0400",https://www.cbo.gov/publication/43270,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 4027
"H.R. 4222, Pascua Yaqui Tribe Trust Land Act","Thu, 24 May 2012 20:45:31 -0400",https://www.cbo.gov/publication/43271,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 4222
"S. 2218, United States Fire Administration Reauthorization Act of 2012","Thu, 24 May 2012 20:45:11 -0400",https://www.cbo.gov/publication/43272,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on May 16, 2012",S. 2218
"H.R. 5512, Divisional Realignment Act of 2012","Thu, 24 May 2012 17:43:43 -0400",https://www.cbo.gov/publication/43613,"As ordered reported by the House Committee on the Judiciary on May 16, 2012 
H.R. 5512 would realign the federal court districts of Eastern Missouri and Northern Mississippi and condense the four divisions of the Northern District of Mississippi into three.",H.R. 5512
"H.R. 5651, Food and Drug Administration Reform Act of 2012","Thu, 24 May 2012 15:50:00 -0400",https://www.cbo.gov/publication/43268,"As ordered reported by the House Committee on Energy and Commerce on May 10, 2012",H.R. 5651
"Senate Amendment 2122 in the Nature of a Substitute to S. 3187, the Food and Drug Administration Safety and Innovation Act with Further Amendments Adopted by the Senate Through May 24, 2012","Thu, 24 May 2012 15:50:00 -0400",https://www.cbo.gov/publication/43266,"CBO Estimate of the Statutory Pay-As-You-Go Effects for Senate Amendment 2122 in the Nature of a Substitute to S. 3187,the Food and Drug Administration Safety and Innovation Act, with Further Amendments Adopted by the Senate through May 24, 2012",S. 3187
"Senate Amendment 2122 in the Nature of a Substitute to S. 3187, the Food and Drug Administration Safety and Innovation Act","Tue, 22 May 2012 17:28:24 -0400",https://www.cbo.gov/publication/43265,"CBO Estimate of the Statutory Pay-As-You-Go Effects for Senate Amendment 2122 in the Nature of a Substitute to S. 3187, the Food and Drug Administration Safety and Innovation Act",S. 3187
"S. 1100, Keeping Politics Out of Federal Contracting Act of 2011","Mon, 21 May 2012 19:00:00 -0400",https://www.cbo.gov/publication/43261,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on May 16, 2012",S. 1100
"H.R. 5743, Intelligence Authorization Act for Fiscal Year 2013","Mon, 21 May 2012 16:43:10 -0400",https://www.cbo.gov/publication/43260,"As ordered reported by the House Permanent Select Committee on Intelligence on May 17, 2012",H.R. 5743
"H.R. 4005, Gauging American Port Security Act","Fri, 18 May 2012 16:27:28 -0400",https://www.cbo.gov/publication/43259,"As ordered reported by the House Committee on Homeland Security on May 9, 2012",H.R. 4005
"H.R. 4363, Federal Employee Phased Retirement Act","Fri, 18 May 2012 16:27:06 -0400",https://www.cbo.gov/publication/43257,"As ordered reported by the House Committee on Oversight and Government Reform on April 18, 2012",H.R. 4363
"H.R. 3985, Building Better Business Partnerships Act of 2012.","Fri, 18 May 2012 16:27:05 -0400",https://www.cbo.gov/publication/43258,"As ordered reported by the House Committee on Small Business on March 22, 2012",H.R. 3985
"H.R. 4203, Women’s Procurement Program Improvement Act of 2012","Wed, 16 May 2012 18:18:09 -0400",https://www.cbo.gov/publication/43256,"As ordered reported by the House Committee on Small Business on March 21, 2012",H.R. 4203
"H.R. 460, Bonneville Unit Clean Hydropower Facilitation Act","Wed, 16 May 2012 18:17:14 -0400",https://www.cbo.gov/publication/43255,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 460
"H.R. 1272, Minnesota Chippewa Tribe Judgment Fund Distribution Act of 2012","Wed, 16 May 2012 18:16:26 -0400",https://www.cbo.gov/publication/43254,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 1272
"S. 414, International Protecting Girls by Preventing Child Marriage Act of 2011","Tue, 15 May 2012 17:42:21 -0400",https://www.cbo.gov/publication/43253,"As ordered reported by the Senate Committee on Foreign Relations
on February 14, 2012",S. 414
"H.R. 4310, National Defense Authorization Act for Fiscal Year 2013","Tue, 15 May 2012 16:56:51 -0400",https://www.cbo.gov/publication/43252,"As reported by the House Committee on Armed Services on May 11, 2012",H.R. 4310
"S. 657, National Blue Alert Act of 2011","Tue, 15 May 2012 16:35:22 -0400",https://www.cbo.gov/publication/43251,"As reported by the Senate Committee on the Judiciary on September 8, 2011",S. 657
"H.R. 2446, RESPA Home Warranty Clarification Act of 2011","Tue, 15 May 2012 16:35:02 -0400",https://www.cbo.gov/publication/43250,"As ordered reported by the House Committee on Financial Services on March 27, 2012",H.R. 2446
"S. 363, an act to authorize the Secretary of Commerce to convey property of the National Oceanic and Atmospheric Administration to the city of Pascagoula, Mississippi, and for other purposes","Fri, 11 May 2012 23:59:00 -0400",https://www.cbo.gov/publication/43244,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",S. 363
"H.R. 3670, a bill to require the Transportation Security Administration to comply with the Uniformed Services Employment and Reemployment Rights Act","Fri, 11 May 2012 23:59:00 -0400",https://www.cbo.gov/publication/43245,"As ordered reported by the House Committee on Veterans’ Affairs on April 27, 2012",H.R. 3670
"H.R. 4607, Midnight Rule Relief Act of 2012","Fri, 11 May 2012 23:59:00 -0400",https://www.cbo.gov/publication/43246,"As ordered reported by the House Committee on Oversight and Government Reform on April 26, 2012",H.R. 4607
"H.R. 365, National Blue Alert Act of 2012","Fri, 11 May 2012 20:57:51 -0400",https://www.cbo.gov/publication/43249,"As ordered reported by the House Committee on the Judiciary on April 25, 2012",H.R. 365
"H.R. 2764, WMD Intelligence and Information Sharing Act of 2011","Fri, 11 May 2012 20:55:08 -0400",https://www.cbo.gov/publication/43248,"As ordered reported by the House Committee on Homeland Security on March 28, 2012",H.R. 2764
"S. 1763, Stand Against Violence and Empower Native Women Act.","Fri, 11 May 2012 20:53:21 -0400",https://www.cbo.gov/publication/43247,"As ordered reported by the Senate Committee on Indian Affairs on December 8, 2011",S. 1763
"H.R. 4310, Preliminary estimate of the direct spending effects of the National Defense Authorization Act for Fiscal Year 2013","Fri, 11 May 2012 16:19:00 -0400",https://www.cbo.gov/publication/43240,"As ordered reported by the House Committee on Armed Services on May 9, 2012

CBO’s complete cost estimate for H.R. 4310, including discretionary costs, will be provided shortly.",H.R. 4310
"H.R. 1237, a bill to provide for a land exchange with the Trinity Public Utilities District of Trinity County, California, involving the transfer of land to the Bureau of Land Management and the Six Rivers National Forest in exchange for National Forest","Fri, 11 May 2012 16:15:00 -0400",https://www.cbo.gov/publication/43241,"As ordered reported by the House Committee on Natural Resources on April 25, 2012
",H.R. 1237
"H.R. 4970, Violence Against Women Reauthorization Act of 2012","Fri, 11 May 2012 16:15:00 -0400",https://www.cbo.gov/publication/43242,"As ordered reported by the House Committee on the Judiciary on May 8, 2012",H.R. 4970
"S. 2516, Food and Drug Administration Safety and Innovation Act","Fri, 11 May 2012 16:15:00 -0400",https://www.cbo.gov/publication/43243,"As reported by the Senate Committee on Health, Education, Labor, and Pensions on May 7, 2012",S. 2516
"H.R. 4201, Servicemember Family Protection Act","Fri, 11 May 2012 16:11:00 -0400",https://www.cbo.gov/publication/43239,"As ordered reported by the House Committee on Veterans’ Affairs on April 27, 2012",H.R. 4201
"H.R. 4206, Contracting Oversight for Small Business Jobs Act of 2012","Thu, 10 May 2012 12:30:00 -0400",https://www.cbo.gov/publication/43237,"As ordered reported by the House Committee on Small Business on March 21,2012",H.R. 4206
"H.R. 4114, the Veterans&#039; Compensation Cost-of-Living Adjustment Act of 2012","Thu, 10 May 2012 10:17:00 -0400",https://www.cbo.gov/publication/43236,"As ordered reported by the House Committee on Veterans’ Affairs on April 27, 2012",H.R. 4114
Letter to the Honorable Chris Van Hollen Regarding a Proposed Amendment to the Sequester Replacement Reconciliation Act of 2012,"Wed, 09 May 2012 19:35:00 -0400",https://www.cbo.gov/publication/43235,"The Congressional Budget Office (CBO) has reviewed your proposed amendment to Rules Committee print 112-21, the Sequester Replacement Reconciliation Act of 2012.",
Sequester Replacement Reconciliation Act,"Wed, 09 May 2012 15:05:00 -0400",https://www.cbo.gov/publication/43234,As posted on the Web site of the House Committee on Rules (committee print 112-21).,
"H.R. 2008, Keeping Politics Out of Federal Contracting Act of 2011","Wed, 09 May 2012 13:45:00 -0400",https://www.cbo.gov/publication/43231,"As ordered reported by the House Committee on Oversight and Government Reform on April 26, 2012",H.R. 2008
"H.R. 2621, Chimney Rock National Monument Establishment Act","Tue, 08 May 2012 17:45:40 -0400",https://www.cbo.gov/publication/43228,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 2621
"H.R. 3987, Small Business Protection Act of 2012","Tue, 08 May 2012 17:45:00 -0400",https://www.cbo.gov/publication/43229,"As ordered reported by the House Committee on Small Business on March 22, 2012",H.R. 3987
"H.R. 4966, Sequester Replacement Act of 2012","Tue, 08 May 2012 16:45:00 -0400",https://www.cbo.gov/publication/43227,"As ordered reported by the House Committee on the Budget on May 7, 2012",H.R. 4966
Sequester Replacement Reconciliation Act,"Tue, 08 May 2012 12:07:00 -0400",https://www.cbo.gov/publication/43226,"The Congressional Budget Office (CBO) has reviewed the Sequester Replacement Reconciliation Act, as ordered reported by the House Committee on the Budget on May 7, 2012.",
"S. 2224, A bill to require the President to report to Congress on issues related to Syria","Mon, 07 May 2012 11:45:00 -0400",https://www.cbo.gov/publication/43223,"As ordered reported by the Senate Committee on Foreign Relations on April 26, 2012",S. 2224
"H.R. 1016, Assessing Progress in Haiti Act","Fri, 04 May 2012 16:25:00 -0400",https://www.cbo.gov/publication/43217,"As ordered reported by the Senate Committee on Foreign Relations
on April 26, 2012",H.R. 1016
"H.R. 3409, Coal Miner Employment and Domestic Energy Infrastructure Protection Act","Fri, 04 May 2012 16:25:00 -0400",https://www.cbo.gov/publication/43219,"As ordered reported by the House Committee on Natural Resources
on February 29, 2012",H.R. 3409
"S. 1998, DHS Audit Requirement Target Act of 2012","Fri, 04 May 2012 16:25:00 -0400",https://www.cbo.gov/publication/43220,"As ordered reported by the Senate Committee on Homeland Security
and Governmental Affairs on April 25, 2012",S. 1998
"H.R. 2489, American Battlefield Protection Program Amendments Act of 2011","Fri, 04 May 2012 16:25:00 -0400",https://www.cbo.gov/publication/43221,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 2489
"S. 2061, Former Charleston Naval Base Land Exchange Act of 2012","Fri, 04 May 2012 16:25:00 -0400",https://www.cbo.gov/publication/43222,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on April 25, 2012",S. 2061
"H.R. 1838, Swaps Bailout Prevention Act","Fri, 04 May 2012 15:22:00 -0400",https://www.cbo.gov/publication/43733,"As ordered reported by the House Committee on Financial Services on February 16, 2012
",H.R. 1838
"H.R. 3783, Countering Iran in the Western Hemisphere Act of 2012","Wed, 02 May 2012 18:15:00 -0400",https://www.cbo.gov/publication/43214,"As ordered reported by the House Committee on Foreign Affairs on March 7, 2012",H.R. 3783
"H.R. 3874, Black Hills Cemetery Act","Wed, 02 May 2012 18:05:00 -0400",https://www.cbo.gov/publication/43213,"As ordered reported by the House Committee on Natural Resources on April 25, 2012",H.R. 3874
"H.R. 538, Government Customer Service Improvement Act","Mon, 30 Apr 2012 15:07:00 -0400",https://www.cbo.gov/publication/43212,"As ordered reported by the House Committee on Oversight and Government Reform on April 18, 2012",H.R. 538
"H.R. 3283, Swap Jurisdiction Certainty Act","Mon, 30 Apr 2012 12:00:00 -0400",https://www.cbo.gov/publication/43208,"As ordered reported by the House Committee on Financial Services on March 27, 2012",H.R. 3283
"H.R. 2668, an act to designate the station of the United States Border Patrol located at 2136 South Naco Highway in Bisbee, Arizona, as the “Brian A. Terry Border Patrol Station”","Mon, 30 Apr 2012 12:00:00 -0400",https://www.cbo.gov/publication/43209,"The Congressional Budget Office has reviewed H.R. 2668, an act to designate the station of the United States Border Patrol located at 2136 South Naco Highway in Bisbee, Arizona, as the “Brian A.",H.R. 2668
"H.R. 1818, Mt. Andrea Lawrence Designation Act of 2011","Mon, 30 Apr 2012 12:00:00 -0400",https://www.cbo.gov/publication/43210,"The Congressional Budget Office has reviewed H.R. 1818, the Mt. Andrea Lawrence Designation Act of 2011, as ordered reported by the House Committee on Natural Resources on April 25, 2012.",H.R. 1818
"S. 925, Mt. Andrea Lawrence Designation Act of 2011","Mon, 30 Apr 2012 12:00:00 -0400",https://www.cbo.gov/publication/43211,"The Congressional Budget Office has reviewed S. 925, the Mt. Andrea Lawrence Designation Act of 2011, as ordered reported by the House Committee on Natural Resources on April 25, 2012.",S. 925
"H.R. 3902, the District of Columbia Special Election Reform Act","Mon, 30 Apr 2012 12:00:00 -0400",https://www.cbo.gov/publication/43206,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on April 25, 2012",H.R. 3902
"H.R. 4235, SWAP Data Repository and Clearinghouse Indemnification Correction Act of 2012","Mon, 30 Apr 2012 12:00:00 -0400",https://www.cbo.gov/publication/43207,"As ordered reported by the House Committee on Financial Services on March 27, 2012",H.R. 4235
Reconciliation Recommendations of the House Committee on Energy and Commerce,"Fri, 27 Apr 2012 21:17:00 -0400",https://www.cbo.gov/publication/43204,"As approved by the House Committee on Energy and Commerce on April 25, 2012",
Reconciliation Recommendations of the House Committee on Oversight and Government Reform,"Fri, 27 Apr 2012 21:17:00 -0400",https://www.cbo.gov/publication/43205,"As approved by the House Committee on Oversight and Government Reform on April 26, 2012",H.R. 5652
"H.R. 4628, Interest Rate Reduction Act","Thu, 26 Apr 2012 17:55:00 -0400",https://www.cbo.gov/publication/43200,"As Introduced on April 25, 2012",H.R. 4628
"Help Efficient, Accessible, Low-cost, Timely Healthcare Act of 2011","Thu, 26 Apr 2012 16:40:00 -0400",https://www.cbo.gov/publication/43197,"As approved by the House Committee on the Judiciary on April 25, 2012",
"Agriculture Reform, Food, and Jobs Act of 2012","Thu, 26 Apr 2012 11:50:00 -0400",https://www.cbo.gov/publication/43196,"As posted on the Web site of the Senate Committee on Agriculture, Nutrition, and Forestry on April 26, 2012.",
"S. 2343, Stop the Student Loan Interest Rate Hike Act of 2012","Wed, 25 Apr 2012 16:28:16 -0400",https://www.cbo.gov/publication/43194,"As introduced on April 24, 2012",S. 2343
Reconciliation recommendation related to a Social Security Number Required to Claim the Refundable Portion of the Child Tax Credit,"Tue, 24 Apr 2012 18:23:34 -0400",https://www.cbo.gov/publication/43192,"As approved by the House Committee on Ways and Means on April 18, 2012",
Reconciliation recommendation related to the Recapture of Overpayments Resulting From Certain Federally Subsidized Health Insurance,"Tue, 24 Apr 2012 18:21:44 -0400",https://www.cbo.gov/publication/43191,"As approved by the House Committee on Ways and Means on April 18, 2012",
Reconciliation Recommendations of the House Committee on Financial Services,"Tue, 24 Apr 2012 14:36:16 -0400",https://www.cbo.gov/publication/43189,"As approved by the House Committee on Financial Services on April 18, 2012",
Repeal of the Program of Block Grants to States for Social Services,"Tue, 24 Apr 2012 12:42:00 -0400",https://www.cbo.gov/publication/43188,"As approved by the House Committee on Ways and Means on April 18, 2012 ",
Estimate of the effects on direct spending of draft legislation to reauthorize agricultural programs and for other purposes,"Mon, 23 Apr 2012 18:40:00 -0400",https://www.cbo.gov/publication/43187,"As posted on the Web site of the Senate Committee on Agriculture, Nutrition, and Forestry on April 20, 2012.",
Agricultural Reconciliation Act of 2012,"Mon, 23 Apr 2012 15:27:00 -0400",https://www.cbo.gov/publication/43185,"As approved by the House Committee on Agriculture on April 18, 2012",
"H.R. 2745, a bill to amend the Mesquite Lands Act of 1986 to facilitate implementation of a multispecies habitat conservation plan for the Virgin River in Clark County, Nevada","Mon, 23 Apr 2012 12:15:00 -0400",https://www.cbo.gov/publication/43183,"As ordered reported by the House Committee on Natural Resources on February 29, 2012",H.R. 2745
"H.R. 3140, the Mass Transit Intelligence Prioritization Act","Mon, 23 Apr 2012 12:15:00 -0400",https://www.cbo.gov/publication/43184,"As ordered reported by the House Committee on Homeland Security on March 28, 2012",H.R. 3140
"H.R. 2106, Syria Freedom Support Act","Fri, 20 Apr 2012 19:00:00 -0400",https://www.cbo.gov/publication/43179,"As reported by the House Committee on Foreign Affairs on March 7, 2012",H.R. 2106
"H.R. 3674, Promoting and Enhancing Cybersecurity and Information Sharing Effectiveness Act of 2012","Fri, 20 Apr 2012 19:00:00 -0400",https://www.cbo.gov/publication/43180,"As ordered reported by the House Committee on Homeland Security on April 20, 2012",H.R. 3674
"H.R. 4257, Federal Information Security Amendments Act of 2012","Fri, 20 Apr 2012 19:00:00 -0400",https://www.cbo.gov/publication/43181,"As ordered reported by the House Committee on Oversight and Government Reform on April 18, 2012",H.R. 4257
"H.R. 4078, Regulatory Freeze for Jobs Act of 2012","Fri, 20 Apr 2012 19:00:00 -0400",https://www.cbo.gov/publication/43182,"As ordered reported by the House Committee on the Judiciary on March 20, 2012",H.R. 4078
"S. 1409, Improper Payments Elimination and Recovery Improvement Act of 2011","Fri, 20 Apr 2012 13:00:00 -0400",https://www.cbo.gov/publication/43178,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on October 19, 2011",S. 1409
"S. 1789, Amendment number 2000, an amendment in the nature of a substitute to S. 1789, the 21st Century Postal Service Act of 2011","Thu, 19 Apr 2012 17:54:23 -0400",https://www.cbo.gov/publication/43177,"As proposed by Senator Reid for Senator Lieberman on April 17, 2012",S. 1789
"H.R. 890, the Tom Lantos Justice for Holocaust Survivors Act","Wed, 18 Apr 2012 17:30:00 -0400",https://www.cbo.gov/publication/43172,"As ordered reported by the House Committee on Foreign Affairs on March 21, 2012",H.R. 890
"H.R. 9, Small Business Tax Cut Act","Wed, 18 Apr 2012 12:50:00 -0400",https://www.cbo.gov/publication/43162,H.R. 9 would amend the Internal Revenue Code to permit certain small businesses to deduct from their taxable income up to 20 percent of their qualifying domestic business income.,H.R. 9
"H.R. 3563, Integrated Public Alert and Warning System Modernization Act of 2012","Tue, 17 Apr 2012 14:00:00 -0400",https://www.cbo.gov/publication/43168,"As ordered reported by the House Committee on Homeland Security on March 28, 2012",H.R. 3563
"H.R. 4264, FHA Emergency Fiscal Solvency Act of 2012","Tue, 17 Apr 2012 14:00:00 -0400",https://www.cbo.gov/publication/43170,"As ordered reported by the House Committee on Financial Services on March 27, 2012",H.R. 4264
"H.R. 5892, Hydropower Regulatory Efficiency Act of 2012","Mon, 16 Apr 2012 22:27:12 -0400",https://www.cbo.gov/publication/43365,"As ordered reported by the House Committee on Energy and Commerce on June 20, 2012",
"H.R. 3534, Security in Bonding Act of 2011","Mon, 16 Apr 2012 00:00:00 -0400",https://www.cbo.gov/publication/43167,"As ordered reported by the House Committee on the Judiciary on March 20, 2012",
"S. 2159, a bill to extend the authorization of the Drug Free Communities Support Program through fiscal year 2017","Thu, 12 Apr 2012 16:30:00 -0400",https://www.cbo.gov/publication/43165,"As ordered reported by the Senate Committee on the Judiciary on March 29, 2012",S. 2159
