Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 8900, Further Continuing Appropriations Act, 2021, and Other Extensions Act","Wed, 09 Dec 2020 10:54:00 -0500",https://www.cbo.gov/publication/56899,"As introduced on December 8, 2020 (https://docs.house.gov/billsthisweek/20201207/BILLS-116hr8900-SUS.pdf)
",H.R. 8900,https://www.cbo.gov//system/files/2020-12/CBO%20cost%20estimate%20for%20H.R.%208900%20as%20introduced%20on%20December%208%202020.pdf
"S. 2722, SWAG Act","Tue, 08 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56897,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on March 11, 2020
",S. 2722,https://www.cbo.gov//system/files/2020-12/s2722.pdf
"H.R. 7539, Strengthening Behavioral Health Parity Act","Tue, 08 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56890,"As ordered reported by the House Committee on Energy and Commerce on July 15, 2020
",H.R. 7539,https://www.cbo.gov//system/files/2020-12/hr7539.pdf
"Statutory Pay-As-You-Go Effects of S. 1811, Water Resources Development Act of 2020","Tue, 08 Dec 2020 14:36:00 -0500",https://www.cbo.gov/publication/56896,"As posted on the Website of the Clerk of the House on December 4, 2020 https://docs.house.gov/billsthisweek/20201207/BILLS-116s1811-SUS.pdf
",S. 1811,https://www.cbo.gov//system/files/2020-12/s1811paygo.pdf
"Statutory Pay-As-You-Go Effects of H.R. 1375, Provide Accurate Information Directly Act","Tue, 08 Dec 2020 13:28:00 -0500",https://www.cbo.gov/publication/56894,"As posted on the website Bills to be Considered on the House Floor (https://docs.house.gov/floor/) on December 7, 2020
",H.R. 1375,https://www.cbo.gov//system/files/2020-12/HR1375PAYGO.pdf
"Statutory Pay-As-You-Go Effects of H.R. 8235, Open Courts Act of 2020","Tue, 08 Dec 2020 13:28:00 -0500",https://www.cbo.gov/publication/56895,"As posted on the Website of the Clerk of the House on December 8, 2020
",H.R. 8235,https://www.cbo.gov//system/files/2020-12/hr8235paygo.pdf
"Statutory Pay-As-You-Go Effects of H.R. 2477, Beneficiary Enrollment Notification and Eligibility Simplification Act of 2020","Tue, 08 Dec 2020 11:00:00 -0500",https://www.cbo.gov/publication/56892,"As posted on the website Bills to be Considered on the House Floor (https://docs.house.gov/floor/) on December 7, 2020
",H.R. 2477,https://www.cbo.gov//system/files/2020-12/hr2477paygo.pdf
"Statutory Pay-As-You-Go Effects of H.R. 1570, Removing Barriers to Colorectal Cancer Screening Act of 2020","Tue, 08 Dec 2020 11:00:00 -0500",https://www.cbo.gov/publication/56889,"As posted on the website, Bills to be Considered on the House Floor (https://docs.house.gov/floor) on December 4, 2020 (version H1570_SUS.XML)
",H.R. 1570,https://www.cbo.gov//system/files/2020-12/hr1570paygo.pdf
"H.R. 5201, Telemental Health Expansion Act of 2020","Mon, 07 Dec 2020 08:49:00 -0500",https://www.cbo.gov/publication/56874,"As ordered reported by the House Committee on Energy and Commerce on July 15, 2020
",H.R. 5201,https://www.cbo.gov//system/files/2020-12/hr5201.pdf
"Statutory Pay-As-You-Go Effects of H.R. 6395, the William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021","Mon, 07 Dec 2020 08:49:00 -0500",https://www.cbo.gov/publication/56883,"Letter to the Honorable John Yarmuth
",H.R. 6395,https://www.cbo.gov//system/files/2020-12/hr6395paygohouse.pdf
